studentId,mean_proficiency_2017,mean_proficiency_2018,studentLevel2017,studentLevel2018
44952,0.993488208377332,0.9841600184992485,5,6
44953,0.9940161914818726,0.9935252630361893,5,6
44954,0.9683210137275606,0.9929471615215633,5,6
44955,1.0390707497360085,1.041160827841369,5,6
44956,1.0327349524815206,1.0198866921031333,5,6
44957,1.0383667722632874,1.0314487223956528,5,6
44958,0.9776487152411122,1.049023008440282,5,6
44959,0.9690249912002815,0.963579604578564,5,6
44960,1.0633579725448787,1.1136547577754652,5,6
44961,1.0802554366586123,1.0831640713157302,6,7
44962,0.9963041182682154,1.0077465602959879,5,6
44963,0.9748328053502288,1.025667707249393,5,6
44964,0.9665610700457585,1.0719158284194705,5,6
44965,0.8479408658922915,0.8968666897907273,5,6
44966,0.9690249912002816,0.9805757891085675,5,6
44967,0.9940161914818726,1.049485489651983,5,6
44968,1.0575501583949314,1.0914556596138283,5,6
44969,0.9901443153819078,1.0141056769568735,5,6
44970,0.914466737064414,0.9335183258180136,5,6
44971,0.9236184442097852,0.9353682506648168,5,6
44972,1.0667018655403027,1.1282229159440398,5,6
44973,0.6332277367124253,0.6215747485258412,5,6
44975,1.0135515663498769,1.0504104520753845,5,6
44977,0.8947553678282295,0.9233437391605966,5,6
44978,0.9845124956001408,0.9744479130535323,5,6
44979,0.9628651883139739,1.028558214822523,5,6
44980,0.9809926082365364,1.0072840790842872,5,6
44981,1.0383667722632874,1.050063591166609,5,6
44982,0.9215065117916226,0.9473927621690369,5,6
44984,0.9764167546638507,1.02693953058157,5,6
44985,0.9473776839141147,1.032836166030755,5,6
44986,0.9197465681098205,0.9990750375765985,5,6
44987,1.0482224568813798,1.0767718811423286,5,6
44988,1.0978528687082014,1.1647589316684008,5,6
44989,0.9732488560366068,1.018499248468031,5,6
44990,1.066173882435762,1.054919643889467,5,6
44991,0.8271735304470257,0.8674991328477281,5,6
44992,0.9853924674410419,1.024511504220141,5,6
44993,1.0498064061950019,1.0312174817898023,5,6
44994,1.066877859908483,1.0619724823679038,5,6
44995,1.0417106652587118,1.0601225575211009,5,6
44996,1.105596620908131,1.10151462596832,5,6
44997,0.8329813445969729,0.8779049601109955,5,6
44998,1.0439985920450545,1.0428951323852467,5,6
44999,1.004047870468145,0.9305121979419586,5,6
45000,1.0364308342133053,1.0317955833044283,5,6
45001,1.0535022879267864,1.1220950398890046,5,6
45002,0.9640971488912355,1.0150306393802753,5,6
45003,0.9294262583597325,1.0189617296797318,5,6
45004,0.9963041182682155,1.0258989478552432,5,6
45005,0.9384019711369236,0.924153081281073,5,6
45006,0.9227384723688843,1.0123713724129957,5,6
45007,0.9223864836325237,0.992831541218638,5,6
45009,0.9966561070045759,1.0210428951323853,5,6
45010,0.9660330869412179,0.9951439472771418,5,6
45011,0.9435058078141499,0.942652329749104,5,6
45012,0.9083069341781063,0.9323621227887617,5,6
45013,1.0288630763815558,1.0624349635796044,5,6
45014,0.8792678634283703,0.9224187767371951,5,6
45015,1.0028159098908835,1.0006937218175511,5,6
45017,1.0114396339317142,1.0391952826916409,5,6
45018,1.0124266482568176,1.034529451591063,6,7
45019,0.9538894755367828,0.949820788530466,5,6
45020,0.9829285462865189,1.0198866921031333,5,6
